ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,clicked_stimuli,participant,session,date,expName,psychopyVersion,frameRate
crocodile,hog,horse,dog,fox,spider,shark,snake,turtle,"['stim7', 'stim8', 'stim6', 'stim1', 'stim4', 'stim3', 'stim2', 'stim5']","['snake', 'turtle', 'shark', 'hog', 'fox', 'dog', 'horse', 'spider']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
cat,turkey,snail,bat,bluebird,tiger,hog,ant,giraffe,"['stim5', 'stim6', 'stim8', 'stim3', 'stim1', 'stim4', 'stim7', 'stim2']","['tiger', 'hog', 'giraffe', 'bat', 'turkey', 'bluebird', 'ant', 'snail']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
frog,ladybug,eagle,elephant,dolphin,shark,rat,whale,monkey,"['stim1', 'stim6', 'stim2', 'stim3', 'stim4', 'stim7', 'stim5', 'stim8']","['ladybug', 'rat', 'eagle', 'elephant', 'dolphin', 'whale', 'shark', 'monkey']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
elephant,horse,bear,frog,dolphin,sheep,turtle,crocodile,pigeon,"['stim1', 'stim4', 'stim2', 'stim5', 'stim7', 'stim6', 'stim3', 'stim8']","['horse', 'dolphin', 'bear', 'sheep', 'crocodile', 'turtle', 'frog', 'pigeon']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
spider,turkey,hog,cat,dolphin,lizard,bluebird,goat,cow,"['stim5', 'stim6', 'stim1', 'stim2', 'stim8', 'stim7', 'stim3', 'stim4']","['lizard', 'bluebird', 'turkey', 'hog', 'cow', 'goat', 'cat', 'dolphin']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
ladybug,duck,tiger,whale,elephant,spider,goat,eagle,bear,"['stim5', 'stim1', 'stim7', 'stim6', 'stim3', 'stim8', 'stim4', 'stim2']","['spider', 'duck', 'eagle', 'goat', 'whale', 'bear', 'elephant', 'tiger']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
butterfly,ant,dog,rat,bear,goldfish,mouse,pigeon,spider,"['stim1', 'stim8', 'stim7', 'stim5', 'stim3', 'stim6', 'stim2', 'stim4']","['ant', 'spider', 'pigeon', 'goldfish', 'rat', 'mouse', 'dog', 'bear']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
bluebird,hog,lizard,frog,horse,bear,dog,monkey,cow,"['stim2', 'stim3', 'stim1', 'stim8', 'stim6', 'stim4', 'stim5', 'stim7']","['lizard', 'frog', 'hog', 'cow', 'dog', 'horse', 'bear', 'monkey']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
goldfish,dog,giraffe,goat,lizard,pigeon,tiger,duck,cow,"['stim4', 'stim5', 'stim7', 'stim8', 'stim3', 'stim1', 'stim2', 'stim6']","['lizard', 'pigeon', 'duck', 'cow', 'goat', 'dog', 'giraffe', 'tiger']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
fox,goat,bat,ladybug,dolphin,cat,lizard,turtle,ant,"['stim1', 'stim5', 'stim4', 'stim2', 'stim7', 'stim6', 'stim8', 'stim3']","['goat', 'cat', 'dolphin', 'bat', 'turtle', 'lizard', 'ant', 'ladybug']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
